[run number],threshold,person1,person2,[step],words-said
74,0.2,animals_gigaword.csv,animals_twitter.csv,40,[panther bear dolphin squid jellyfish deer beetle wasp grasshopper goldfish crocodile stingray toucan pig elephant nightingale blackbird dog fox ant crab snake rattlesnake giraffe elk caiman hamster kiwi bat cat python peacock frog jaguar hawk penguin squirrel otter goose ostrich crocodile]
75,0.3,animals_gigaword.csv,animals_twitter.csv,8,[eagle lion panda lobster goat coyote bear racoon]
77,0.2,animals_google.csv,animals_twitter.csv,19,[prawn dingo cuttlefish beetle lizard rat centipede bonobo parrot bat pigeon gecko fox cat spider bumblebee shark leopard goat bonobo]
76,0.1,animals_google.csv,animals_twitter.csv,84,[wombat nightingale pigeon penguin starfish owl hawk ant emu kangaroo zebra shark crab pig seal tiger antelope eagle gibbon chimpanzee coyote flamingo poodle chicken eel hamster salamander lion centipede platypus bee hare mole mule toad elephant dolphin spider dragonfly toucan buffalo finch fly squirrel mongoose ladybug goose goat panther butterfly jaguar bonobo dog tortoise bison panda lizard goldfish pelican wolf boa yak cat snake cuttlefish camel horse moth leopard mouse mink duck deer snail cow parrot robin lobster dove gazelle swan nymph wasp raven eel]
78,0.3,animals_google.csv,animals_twitter.csv,24,[chicken whale beaver carp alligator parrot squirrel poodle zebra chipmunk antelope kangaroo peacock lion elephant snake leopard rattlesnake turtle swan owl emu monkey oyster whale]
80,0.2,animals_twitter.csv,animals_twitter.csv,77,[cow nymph caiman flamingo grasshopper eagle panda chicken walrus chimpanzee lobster pelican canary rattlesnake okapi mink owl squirrel turtle carp frog kangaroo antelope mole cat sheep weasel bonobo coyote parrot octopus zebra tarantula goose goldfish lemur hamster stork dove dog peacock lion crow lizard salamander ant skunk tortoise gibbon beetle squid dragonfly shrimp prawn buffalo gazelle deer platypus albatross bison goat puma nightingale hawk camel jellyfish woodpecker racoon duck flea hyena cockroach gecko parakeet pigeon kiwi starfish hawk]
79,0.1,animals_twitter.csv,animals_twitter.csv,6,[ladybug racoon pelican koala nymph tarantula nymph]
81,0.3,animals_twitter.csv,animals_twitter.csv,28,[hawk parakeet caterpillar mink oyster beaver puma penguin pelican koala prawn toucan crow moth mule bumblebee goldfish reindeer mole cat goose panther octopus ladybug snail otter mouse cod oyster]
82,0.1,animals_wikipedia.csv,animals_twitter.csv,26,[rhinoceros flamingo wasp finch peacock shrimp catfish eagle walrus giraffe monkey parakeet cat caterpillar hawk bear bat raven cow wolf dog tortoise okapi wombat hedgehog puma giraffe]
83,0.2,animals_wikipedia.csv,animals_twitter.csv,61,[wombat dingo sheep dog rabbit flea goat ladybug turtle frog wasp rattlesnake eagle turkey okapi pelican raven rooster alligator stork whale rat caterpillar parakeet goose starfish bee moose mink eel cockroach falcon piranha crab grasshopper gorilla badger caiman tapir penguin chipmunk gibbon finch rhinoceros mule mongoose lemur antelope parrot ant swallow pig cuttlefish ostrich giraffe poodle hyena sparrow centipede lemming catfish goat]
