[run number],threshold,person1,[step],words-said
100,0.1,animals_google.csv,29,[cow hedgehog gorilla chicken gibbon peacock owl lobster butterfly kangaroo ostrich gecko bumblebee baboon salamander stork caterpillar chipmunk finch shrimp pelican salmon shark raven hawk turtle mammoth sparrow catfish peacock]
113,0.2,animals_google.csv,25,[rhinoceros rat koala carp gecko crab piranha moth sparrow crocodile snail termite wolf coyote pig tortoise weasel dingo hedgehog jellyfish badger beetle butterfly starfish lizard gecko]
114,0.3,animals_google.csv,20,[deer snake emu rat goldfish dog baboon falcon squirrel hamster rabbit pigeon mole weasel toucan rooster lizard blackbird pelican eagle eagle]
101,0.2,animals_google.csv,32,[dog dove chicken turtle elephant owl shark catfish dragonfly cuttlefish toucan flamingo barracuda walrus lizard chameleon camel mongoose koala tapir shrimp ant deer cat wolf tortoise parakeet gibbon crow pig crocodile squirrel lizard]
102,0.3,animals_google.csv,18,[pelican platypus goldfish finch cow mongoose rhinoceros goat hamster hedgehog chicken beetle crocodile tapir ladybug bonobo antelope giraffe tapir]
103,0.1,animals_twitter.csv,5,[okapi fox gorilla rabbit walrus walrus]
106,0.1,animals_wikipedia.csv,14,[bear starfish horse lobster prawn deer badger squid salamander mole shrimp lizard swallow spider squid]
119,0.2,animals_wikipedia.csv,9,[hedgehog bison deer platypus trout snail salamander badger frog salamander]
107,0.2,animals_wikipedia.csv,12,[grasshopper okapi ant mongoose panda sparrow hyena crocodile cat otter wolf horse crocodile]
109,0.1,animals_gigaword.csv,17,[bat scallop eagle frog chipmunk swallow eel spider ladybug badger ostrich otter emu hawk gazelle boa canary canary]
120,0.3,animals_wikipedia.csv,17,[dolphin dingo kangaroo catfish snail salamander frog tortoise python hamster mongoose cockroach centipede crab rabbit caterpillar butterfly butterfly]
122,0.2,animals_gigaword.csv,17,[scorpion boa pigeon frog wombat bonobo sparrow moth flamingo chicken caterpillar camel hare wasp koala crow piranha koala]
112,0.1,animals_google.csv,32,[goat eagle antelope duck parakeet panda crow rabbit moth gorilla bear jellyfish chameleon rat beaver dog termite ant eel giraffe zebra lemming gecko whale squirrel rattlesnake sheep blackbird hare baboon alligator crocodile antelope]
125,0.2,animals_google.csv,39,[nightingale blackbird fox buffalo crow tarantula koala finch panda parrot mole pigeon cuttlefish snail duck owl penguin dingo gibbon boa emu badger lobster prawn goose dragonfly woodpecker jellyfish shrimp eel squid swan bumblebee shark seal tortoise salamander bear elk emu]
126,0.3,animals_google.csv,9,[monkey walrus rabbit robin platypus elk reindeer otter toad walrus]
115,0.1,animals_twitter.csv,12,[alligator chimpanzee coyote mongoose eel snail jellyfish raven crocodile beaver racoon fox beaver]
128,0.2,animals_twitter.csv,31,[rattlesnake reindeer skunk starfish elephant stingray sheep cockroach okapi dolphin pigeon bat otter cuttlefish lemur snail turtle bison grasshopper wasp goose ladybug snake pony bee peacock shark boa ant gecko hamster shark]
129,0.3,animals_twitter.csv,31,[ostrich rhinoceros oyster okapi gazelle elephant snail mule chimpanzee baboon scallop chameleon poodle owl monkey lobster frog sheep turtle lizard cat stingray rat crow mammoth badger squirrel giraffe cuttlefish caiman horse elephant]
116,0.2,animals_twitter.csv,10,[swan falcon finch hawk frog rabbit snail scorpion tapir wombat hawk]
117,0.3,animals_twitter.csv,29,[shrimp crab butterfly lizard scallop starfish camel tarantula rabbit raven squirrel lemming grasshopper cockroach trout owl dove hamster ladybug lobster bear shark carp eagle catfish cod bison whale fly shark]
118,0.1,animals_wikipedia.csv,21,[beetle salamander fly whale shrimp racoon hare rat cat hamster crab caterpillar ant tarantula squid swan octopus monkey pigeon reindeer chipmunk beetle]
121,0.1,animals_gigaword.csv,18,[stork grasshopper lion turtle rabbit cat mule goat cockroach pigeon hawk elephant bear reindeer crocodile walrus lobster gazelle lobster]
123,0.3,animals_gigaword.csv,13,[tortoise tarantula wombat bat koala rat gorilla alligator lobster woodpecker dragonfly cockroach shark tortoise]
134,0.2,animals_gigaword.csv,34,[cockroach mink pigeon weasel rabbit squirrel bonobo pony bumblebee tarantula frog mongoose parrot scallop catfish mole crab skunk lobster goose lizard duck poodle eagle giraffe cow toad pelican rat bat salmon dolphin seal walrus lobster]
135,0.3,animals_gigaword.csv,9,[snake bear dingo tiger lizard shark squid spider toad snake]
124,0.1,animals_google.csv,29,[turkey horse jaguar crocodile stingray bonobo boa falcon caterpillar flea whale cuttlefish scorpion duck bumblebee shark alligator robin cockroach pigeon buffalo emu chicken chipmunk mouse turtle centipede dingo poodle robin]
138,0.3,animals_google.csv,33,[sparrow butterfly ant rattlesnake tiger snake shark rat hamster centipede eel bumblebee chameleon rhinoceros whale salmon owl antelope tapir turtle okapi gazelle camel swan sheep crocodile emu donkey fox cat baboon mongoose nymph snake]
127,0.1,animals_twitter.csv,16,[dolphin seal weasel rooster beaver peacock lemur camel hawk fly squirrel skunk hedgehog cat badger elephant badger]
140,0.2,animals_twitter.csv,22,[gazelle lizard deer alligator goose coyote leopard fly tiger swallow bonobo piranha rabbit turtle bumblebee scorpion barracuda wolf chameleon stingray beaver gecko stingray]
141,0.3,animals_twitter.csv,15,[elephant stork dove tortoise badger moose catfish koala poodle gorilla bumblebee panther oyster finch lion badger]
130,0.1,animals_wikipedia.csv,27,[whale centipede racoon giraffe wolf tarantula beaver bee octopus kiwi rattlesnake flamingo crow toucan kangaroo caiman swallow seal badger dolphin beetle falcon rhinoceros goat gorilla flea elephant centipede]
143,0.2,animals_wikipedia.csv,24,[albatross catfish toad moose buffalo rhinoceros parrot beetle duck baboon termite tarantula frog octopus squirrel ladybug piranha turtle donkey flea horse mouse lion deer turtle]
144,0.3,animals_wikipedia.csv,24,[ostrich gorilla chameleon frog scorpion gecko mongoose lizard zebra donkey crocodile toad crab goat spider coyote tiger tarantula bonobo baboon hyena camel wombat horse tiger]
131,0.2,animals_wikipedia.csv,30,[ant bison jaguar lemming tortoise beaver cockroach rattlesnake coyote wolf mule baboon beetle caiman catfish tapir gecko mole rabbit swan cow elk mongoose bat skunk buffalo monkey parakeet antelope toad baboon]
132,0.3,animals_wikipedia.csv,10,[walrus caiman wolf squirrel crow coyote parrot caterpillar dog raven squirrel]
